Calector	Cpaca	Dleporina	Dasypus	Ebarbara	Pyagouaroundi	Lpardalis	Mazama	Macouchy	Mtridactyla	Ponca	Ptajacu	Pcrepitans	Pconcolor	Tterrestris
1.85	0.00	0.00	0.00	0.00	1.85	1.85	1.85	0.00	1.85	0.00	5.56	0.00	0.00	1.85
0.00	9.26	11.11	1.85	0.00	0.00	0.00	3.70	0.00	0.00	0.00	3.70	1.85	0.00	0.00
1.85	1.85	12.96	3.70	0.00	0.00	1.85	1.85	0.00	0.00	0.00	1.85	3.70	0.00	0.00
0.00	1.85	9.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.85	0.00	0.00	0.00
1.85	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.85	0.00	0.00
2.08	0.00	0.00	0.00	0.00	0.00	0.00	4.17	0.00	0.00	0.00	4.17	0.00	0.00	2.08
0.00	0.00	18.92	0.00	0.00	0.00	0.00	0.00	2.70	0.00	0.00	0.00	2.70	0.00	0.00
18.52	0.00	3.70	1.85	0.00	0.00	1.85	3.70	0.00	0.00	0.00	11.11	7.41	0.00	0.00
0.00	1.85	24.07	1.85	0.00	1.85	1.85	1.85	0.00	0.00	0.00	3.70	12.96	0.00	0.00
0.00	1.85	1.85	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.85	0.00	0.00	0.00
0.00	4.76	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.76	0.00	0.00	4.76	0.00	0.00
0.00	0.00	0.00	0.00	0.00	0.00	0.00	17.24	0.00	0.00	13.79	0.00	0.00	6.90	0.00
0.00	0.00	0.00	0.00	0.00	0.00	1.89	3.77	0.00	0.00	1.89	0.00	0.00	0.00	0.00
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.89	0.00	0.00	0.00	0.00
0.00	1.89	1.89	0.00	0.00	0.00	0.00	3.77	0.00	0.00	1.89	1.89	5.66	0.00	1.89
0.00	16.33	0.00	0.00	0.00	0.00	0.00	2.04	0.00	0.00	0.00	6.12	0.00	0.00	0.00
0.00	2.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	4.00	0.00	0.00	0.00	0.00
0.00	2.00	4.00	0.00	0.00	0.00	2.00	2.00	0.00	0.00	2.00	2.00	4.00	0.00	0.00
2.00	0.00	4.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.00	2.00	2.00	0.00
0.00	2.00	4.00	0.00	0.00	0.00	0.00	2.00	2.00	0.00	0.00	10.00	0.00	0.00	0.00
0.00	0.00	0.00	0.00	0.00	0.00	2.04	2.04	0.00	0.00	4.08	0.00	0.00	10.20	0.00
0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.12	0.00	2.04	0.00	0.00	2.04	0.00	0.00
0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.25	0.00	0.00	0.00	2.08	0.00	0.00	0.00
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.13	0.00	0.00	2.13	0.00
2.04	2.04	0.00	0.00	0.00	0.00	2.04	0.00	0.00	0.00	0.00	2.04	0.00	0.00	0.00
0.00	0.00	2.04	0.00	2.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.00	0.00	8.00	0.00	0.00	0.00	18.00	4.00	0.00	0.00	6.00	4.00	0.00	8.00	2.00
0.00	2.17	2.17	0.00	0.00	0.00	10.87	0.00	0.00	0.00	4.35	4.35	0.00	4.35	6.52
