CT#,Station,Picture ID,Date,Date Set,DAY,Time,Date_Corr,Time_Corr,Class,Common Name,Scientific Name,No. of Pics,No. of Inds.
52328,BSLL10,B2508474,25/02/2016,23/02/2016,3,02:21,25/02/2016,02:21,M,Savannah Fox,Cerdocyon thous,2,1
52328,BSLL10,C0772615,07/03/2016,23/02/2016,14,20:10,07/03/2016,20:10,M,Savannah Fox,Cerdocyon thous,2,2
52328,BSLL10,C0976838,09/03/2016,23/02/2016,16,21:20,09/03/2016,21:20,M,Savannah Fox,Cerdocyon thous,1,2
52328,BSLL10,C1584981,15/03/2016,23/02/2016,22,23:36,15/03/2016,23:36,M,Savannah Fox,Cerdocyon thous,1,2
52328,BSLL10,C1602860,16/03/2016,23/02/2016,23,00:47,16/03/2016,00:47,M,Savannah Fox,Cerdocyon thous,1,2
52328,BSLL10,C2019612,20/03/2016,23/02/2016,27,05:26,20/03/2016,05:26,M,Savannah Fox,Cerdocyon thous,1,2
52328,BSLL10,C2676977,26/03/2016,23/02/2016,33,21:22,26/03/2016,21:22,M,Savannah Fox,Cerdocyon thous,1,2
52328,BSLL10,D0218755,02/04/2016,23/02/2016,40,05:12,02/04/2016,05:12,M,Savannah Fox,Cerdocyon thous,3,2
52328,BSLL10,D0323080,03/04/2016,23/02/2016,41,06:24,03/04/2016,06:24,M,Savannah Fox,Cerdocyon thous,1,1
52328,BSLL10,D0480963,04/04/2016,23/02/2016,42,22:29,04/04/2016,22:29,M,Savannah Fox,Cerdocyon thous,1,2
52328,BSLL10,D0425050,04/04/2016,23/02/2016,42,06:57,04/04/2016,06:57,M,Agouti,Dasyprocta leporina,1,1
52328,BSLL10,D0624523,06/04/2016,23/02/2016,44,06:48,06/04/2016,06:48,M,Agouti,Dasyprocta leporina,3,1
52328,BSLL10,D0929382,09/04/2016,23/02/2016,47,08:09,09/04/2016,08:09,M,Agouti,Dasyprocta leporina,1,1
52328,BSLL10,D1429440,14/04/2016,23/02/2016,52,08:10,14/04/2016,08:10,M,Agouti,Dasyprocta leporina,1,1
52328,BSLL10,C0859991,08/03/2016,23/02/2016,15,16:39,08/03/2016,16:39,M,Tayra,Eira barbara,1,1
52328,BSLL10,B2573484,25/02/2016,23/02/2016,3,20:24,25/02/2016,20:24,M,Margay,Leopardus sp,1,1
52328,BSLL10,C0722154,07/03/2016,23/02/2016,14,06:09,07/03/2016,06:09,M,Jaguar,Panthera onca,1,1
52328,BSLL10,C0725017,07/03/2016,23/02/2016,14,06:56,07/03/2016,06:56,M,Jaguar,Panthera onca,1,1
52328,BSLL10,D0515545,05/04/2016,23/02/2016,43,04:19,05/04/2016,04:19,M,Jaguar,Panthera onca,1,1
52049,BSLL1011,,22/03/2016,28/02/2016,24,09:51,22/03/2016,09:51,M,Agouti,Dasyprocta leporina,1,1
52049,BSLL1011,,01/04/2016,28/02/2016,34,17:39,01/04/2016,17:39,M,Agouti,Dasyprocta leporina,2,1
52049,BSLL1011,,28/02/2016,28/02/2016,1,21:36,28/02/2016,21:36,M,Armadillo,Dasypus sp.,1,1
52049,BSLL1011,,01/03/2016,28/02/2016,3,22:33,01/03/2016,22:33,M,Armadillo,Dasypus sp.,1,1
52049,BSLL1011,,07/03/2016,28/02/2016,9,20:33,07/03/2016,20:33,M,Armadillo,Dasypus sp.,1,1
52049,BSLL1011,,11/03/2016,28/02/2016,13,22:26,11/03/2016,22:26,M,Armadillo,Dasypus sp.,1,1
52049,BSLL1011,,31/03/2016,28/02/2016,33,21:55,31/03/2016,21:55,M,Armadillo,Dasypus sp.,1,1
52049,BSLL1011,,04/03/2016,28/02/2016,6,10:57,04/03/2016,10:57,M,Tayra,Eira barbara,1,1
52049,BSLL1011,,08/03/2016,28/02/2016,10,03:33,08/03/2016,03:33,M,Bush deer,Mazama sp.,2,1
52049,BSLL1011,,18/03/2016,28/02/2016,20,08:18,18/03/2016,08:18,M,Bush deer,Mazama sp.,2,1
52049,BSLL1011,,14/04/2016,28/02/2016,47,11:27,14/04/2016,11:27,M,Collared Peccary,Pecari tajacu,1,1
51322,BSLL11,B0442916,04/02/2010,28/01/2016,27,11:55,24/02/2016,18:36,M,Labba,Cuniculus paca,1,1
51322,BSLL11,B0781741,07/02/2010,29/01/2016,29,22:42,27/02/2016,05:23,M,Labba,Cuniculus paca,1,1
51322,BSLL11,B1059191,10/02/2010,30/01/2016,31,16:26,01/03/2016,23:07,M,Labba,Cuniculus paca,1,1
51322,BSLL11,B1244678,12/02/2010,31/01/2016,32,12:24,03/03/2016,19:05,M,Labba,Cuniculus paca,2,2
51322,BSLL11,B1265004,12/02/2010,01/02/2016,31,18:03,03/03/2016,00:44,M,Labba,Cuniculus paca,1,1
51322,BSLL11,B2374323,23/02/2010,03/02/2016,40,20:38,14/03/2016,03:19,M,Labba,Cuniculus paca,1,1
51322,BSLL11,C0861124,08/03/2010,07/02/2016,49,16:58,27/03/2016,23:39,M,Labba,Cuniculus paca,2,1
51322,BSLL11,C1050138,10/03/2010,09/02/2016,49,13:55,29/03/2016,20:36,M,Labba,Cuniculus paca,1,1
51322,BSLL11,C1050138,11/03/2010,10/02/2016,49,18:39,30/03/2016,01:20,M,Labba,Cuniculus paca,1,1
51322,BSLL11,C1656449,16/03/2010,11/02/2016,53,15:40,04/04/2016,22:21,M,Labba,Cuniculus paca,1,1
51322,BSLL11,C1656449,16/03/2010,12/02/2016,52,20:42,04/04/2016,03:23,M,Labba,Cuniculus paca,1,1
51322,BSLL11,C1753070,17/03/2010,13/02/2016,52,14:44,05/04/2016,21:25,M,Labba,Cuniculus paca,1,2
51322,BSLL11,C2577716,25/03/2010,14/02/2016,59,21:35,13/04/2016,04:16,M,Labba,Cuniculus paca,1,1
51322,BSLL11,B2401299,24/02/2010,04/02/2016,40,00:21,15/03/2016,07:02,M,Agouti,Dasyprocta leporina,1,1
51322,BSLL11,B2538077,25/02/2010,05/02/2016,40,10:34,16/03/2016,17:15,M,Agouti,Dasyprocta leporina,1,1
51322,BSLL11,B2635848,26/02/2010,06/02/2016,40,09:57,17/03/2016,16:38,M,Agouti,Dasyprocta leporina,2,1
51322,BSLL11,C0815246,08/03/2010,08/02/2016,48,04:14,27/03/2016,10:55,M,Tayra,Eira barbara,1,1
51322,BSLL11,B1870216,18/02/2010,02/02/2016,36,19:30,09/03/2016,02:11,M,Ocelot,Leopardus pardalis,1,1
52327,BSLL12B,D0583804,05/04/2016,20/02/2016,46,23:16,05/04/2016,23:16,M,Labba,Cuniculus paca,1,1
52327,BSLL12B,D1204232,12/04/2016,20/02/2016,53,01:10,12/04/2016,01:10,M,Labba,Cuniculus paca,1,1
52327,BSLL12B,C0146703,01/03/2016,20/02/2016,11,12:58,01/03/2016,12:58,M,Agouti,Dasyprocta leporina,2,1
52327,BSLL12B,C1743291,17/03/2016,20/02/2016,27,12:01,17/03/2016,12:01,M,Agouti,Dasyprocta leporina,2,1
52327,BSLL12B,C1828550,18/03/2016,20/02/2016,28,07:55,18/03/2016,07:55,M,Agouti,Dasyprocta leporina,2,1
52327,BSLL12B,C2734472,27/03/2016,20/02/2016,37,09:34,27/03/2016,09:34,M,Agouti,Dasyprocta leporina,1,1
52327,BSLL12B,D0647295,06/04/2016,20/02/2016,47,13:08,06/04/2016,13:08,M,Agouti,Dasyprocta leporina,1,1
52327,BSLL12B,D0930869,09/04/2016,20/02/2016,50,08:34,09/04/2016,08:34,M,Agouti,Dasyprocta leporina,1,1
52327,BSLL12B,C0676498,06/03/2016,20/02/2016,16,21:14,06/03/2016,21:14,M,Armadillo,Dasypus sp.,2,1
52327,BSLL12B,C1782359,17/03/2016,20/02/2016,27,20:52,17/03/2016,20:52,M,Bush deer,Mazama sp.,2,1
52327,BSLL12B,C2123866,21/03/2016,20/02/2016,31,06:37,21/03/2016,06:37,M,Bush deer,Mazama sp.,1,1
52327,BSLL12B,C2361310,23/03/2016,20/02/2016,33,17:01,23/03/2016,17:01,M,Bush deer,Mazama sp.,1,1
52327,BSLL12B,C2642269,26/03/2016,20/02/2016,36,11:44,26/03/2016,11:44,M,Bush deer,Mazama sp.,2,1
52327,BSLL12B,D0956909,09/04/2016,20/02/2016,50,15:48,09/04/2016,15:48,M,Giant Anteater,Myrmecophaga tridactyla,2,1
52327,BSLL12B,D1531182,15/04/2016,20/02/2016,56,08:39,15/04/2016,08:39,M,Coati,Nasua nasua,1,1
52327,BSLL12B,B2337164,23/02/2016,20/02/2016,4,10:19,23/02/2016,10:19,M,Tapir,Tapirus terrestris,3,2
51590,BSLL13,D1341395,13/04/1989,22/02/2016,15,11:29,08/03/2016,16:30,M,Bush deer,Mazama sp.,1,1
51590,BSLL13,D1626899,16/04/1989,24/02/2016,16,07:28,11/03/2016,12:29,M,Bush deer,Mazama sp.,2,1
51590,BSLL13,D2121634,21/04/1989,25/02/2016,20,06:00,16/03/2016,11:01,M,Bush deer,Mazama sp.,1,1
DTL07,BSLL14,Cdy00045,05/03/2016,21/02/2016,45,06:01,05/04/2016,06:01,M,Agouti,Dasyprocta leporina,1,1
DTL07,BSLL14,Cdy00026,26/01/2016,21/02/2016,6,00:53,26/02/2016,00:53,M,Armadillo,Dasypus sp.,1,1
DTL07,BSLL14,Cdy00036,05/02/2016,21/02/2016,14,02:13,05/03/2016,02:13,M,Armadillo,Dasypus sp.,1,1
DTL07,BSLL14,Cdy00040,13/02/2016,21/02/2016,22,04:57,13/03/2016,04:57,M,Armadillo,Dasypus sp.,1,1
DTL07,BSLL14,Cdy00031,02/02/2016,21/02/2016,11,06:58,02/03/2016,06:58,M,Bush deer,Mazama sp.,1,1
DTL07,BSLL14,Cdy00037,09/02/2016,21/02/2016,18,03:24,09/03/2016,03:24,M,Bush deer,Mazama sp.,2,1
DTL07,BSLL14,Cdy00043,03/03/2016,21/02/2016,43,22:00,03/04/2016,22:00,M,Bush deer,Mazama sp.,1,1
DTL07,BSLL14,Cdy00046,05/03/2016,21/02/2016,45,18:32,05/04/2016,18:32,M,Bush deer,Mazama sp.,1,1
DTL07,BSLL14,Cdy00049,14/03/2016,21/02/2016,54,20:36,14/04/2016,20:36,M,Bush deer,Mazama sp.,1,1
DTL07,BSLL14,Cdy00041,16/02/2016,21/02/2016,25,16:54,16/03/2016,16:54,M,Collared Peccary,Pecari tajacu,1,1
DTL07,BSLL14,Cdy00060,15/03/2016,21/02/2016,55,09:26,15/04/2016,09:26,M,Collared Peccary,Pecari tajacu,2,1
DTL07,BSLL14,Cdy00032,03/02/2016,21/02/2016,12,05:05,03/03/2016,05:05,M,Tapir,Tapirus terrestris,3,1
DTL07,BSLL14,Cdy00042,01/03/2016,21/02/2016,41,05:15,01/04/2016,05:15,M,Tapir,Tapirus terrestris,1,1
51619,BSLL15,D1229847,12/04/2016,22/02/2016,50,08:17,12/04/2016,08:17,M,Agouti,Dasyprocta leporina,1,1
51619,BSLL15,C0434027,04/03/2016,22/02/2016,11,09:27,04/03/2016,09:27,M,Tayra,Eira barbara,2,1
51619,BSLL15,C1465833,14/03/2016,22/02/2016,21,18:17,14/03/2016,18:17,M,Bush deer,Mazama sp.,5,1
51619,BSLL15,D1267092,12/04/2016,22/02/2016,50,18:38,12/04/2016,18:38,M,Bush deer,Mazama sp.,2,1
51619,BSLL15,B2784529,27/02/2016,22/02/2016,5,23:28,27/02/2016,23:28,M,Giant Armadillo,Priodontes maximus,1,1
51619,BSLL15,C0621807,06/03/2016,22/02/2016,13,06:03,06/03/2016,06:03,M,Tapir,Tapirus terrestris,9,1
51497,BSLL17,C0271289,02/03/2016,22/02/2016,9,19:48,02/03/2016,19:48,M,Labba,Cuniculus paca,1,1
51497,BSLL17,C0618243,06/03/2016,22/02/2016,13,05:04,06/03/2016,05:04,M,Labba,Cuniculus paca,2,1
51497,BSLL17,C1913740,19/03/2016,22/02/2016,26,03:49,19/03/2016,03:49,M,Labba,Cuniculus paca,1,1
51497,BSLL17,C1920071,19/03/2016,22/02/2016,26,05:34,19/03/2016,05:34,M,Labba,Cuniculus paca,1,1
51497,BSLL17,C2971947,29/03/2016,22/02/2016,36,19:59,29/03/2016,19:59,M,Labba,Cuniculus paca,1,1
51497,BSLL17,D0418438,04/04/2016,22/02/2016,42,05:07,04/04/2016,05:07,M,Labba,Cuniculus paca,1,1
51497,BSLL17,D0581875,05/04/2016,22/02/2016,43,22:44,05/04/2016,22:44,M,Labba,Cuniculus paca,1,1
51497,BSLL17,D0773042,07/04/2016,22/02/2016,45,20:17,07/04/2016,20:17,M,Labba,Cuniculus paca,2,2
51497,BSLL17,D1077874,10/04/2016,22/02/2016,48,21:37,10/04/2016,21:37,M,Labba,Cuniculus paca,1,2
51497,BSLL17,C1434277,14/03/2016,22/02/2016,21,09:31,14/03/2016,09:31,M,Agouti,Dasyprocta leporina,1,1
51497,BSLL17,C1663773,16/03/2016,22/02/2016,23,17:42,16/03/2016,17:42,M,Agouti,Dasyprocta leporina,2,1
51497,BSLL17,D1654120,16/04/2016,22/02/2016,54,15:02,16/04/2016,15:02,M,Bush deer,Mazama sp.,10,1
51181,BSLL20,C0673148,06/03/2016,23/02/2016,13,20:19,06/03/2016,20:19,M,Armadillo,Dasypus sp.,1,1
51181,BSLL20,C1928108,19/03/2016,23/02/2016,26,07:48,19/03/2016,07:48,M,Bush deer,Mazama sp.,11,1
51181,BSLL20,C2662769,26/03/2016,23/02/2016,33,17:26,26/03/2016,17:26,M,Bush deer,Mazama sp.,1,1
51181,BSLL20,D1324545,13/04/2016,23/02/2016,51,06:49,13/04/2016,06:49,M,White-lipped peccary,Tayassu pecari,2,2
DTL06,BSLL2011,Cdy00030,09/03/2016,24/02/2016,15,09:42,09/03/2016,09:42,M,Bush deer,Mazama sp.,1,1
DTL06,BSLL2011,Cdy00033,05/04/2016,24/02/2016,42,13:01,05/04/2016,13:01,M,Bush deer,Mazama sp.,1,1
DTL06,BSLL2011,Cdy00033,05/04/2016,24/02/2016,42,13:37,05/04/2016,13:37,M,Bush deer,Mazama sp.,1,1
DTL06,BSLL2011,Cdy00036,14/04/2016,24/02/2016,51,13:54,14/04/2016,13:54,M,Coati,Nasua nasua,1,2
51495,BSLL21,C1108867,11/03/2016,24/02/2016,16,02:27,11/03/2016,02:27,M,Labba,Cuniculus paca,1,1
51495,BSLL21,B2942633,29/02/2016,24/02/2016,5,11:50,29/02/2016,11:50,M,Agouti,Dasyprocta leporina,1,1
51495,BSLL21,C0123678,01/03/2016,24/02/2016,6,06:34,01/03/2016,06:34,M,Agouti,Dasyprocta leporina,1,1
51495,BSLL21,C0234093,02/03/2016,24/02/2016,7,09:28,02/03/2016,09:28,M,Agouti,Dasyprocta leporina,2,1
51495,BSLL21,C0653682,06/03/2016,24/02/2016,11,14:54,06/03/2016,14:54,M,Agouti,Dasyprocta leporina,1,1
