CT#,Station,Picture ID,Date,Date Set,DAY,Time,Date_Corr,Time_Corr,Class,Common Name,Scientific Name,No. of Pics,No. of Inds.
52246,BSLL42,,29/01/00,6/1/2000,24,20:24,21/03/16,5:46,M,Acouchy,Myoprocta acouchy,1,1
52246,BSLL42,,30/01/00,6/1/2000,25,7:15,22/03/16,16:37,M,Acouchy,Myoprocta acouchy,1,1
52246,BSLL42,,31/01/00,6/1/2000,26,4:04,23/03/16,13:26,M,Acouchy,Myoprocta acouchy,1,1
52246,BSLL42,,31/01/00,6/1/2000,26,6:59,23/03/16,16:21,M,Acouchy,Myoprocta acouchy,1,1
52246,BSLL42,,3/2/2000,6/1/2000,29,23:06,26/03/16,8:28,M,Acouchy,Myoprocta acouchy,2,1
52246,BSLL42,,12/2/2000,6/1/2000,38,0:27,4/4/2016,9:49,M,Acouchy,Myoprocta acouchy,1,1
52246,BSLL42,,12/2/2000,6/1/2000,38,1:09,4/4/2016,10:31,M,Acouchy,Myoprocta acouchy,1,1
52246,BSLL42,,16/02/00,6/1/2000,42,7:19,8/4/2016,16:41,M,Acouchy,Myoprocta acouchy,1,1
52246,BSLL42,,20/02/00,6/1/2000,46,5:49,12/4/2016,15:11,M,Acouchy,Myoprocta acouchy,1,1
51322,BSLL11,B2401299,24/02/10,4/2/2016,40,0:21,15/03/16,7:02,M,Agouti,Dasyprocta leporina,1,1
51322,BSLL11,B2538077,25/02/10,5/2/2016,40,10:34,16/03/16,17:15,M,Agouti,Dasyprocta leporina,1,1
51322,BSLL11,B2635848,26/02/10,6/2/2016,40,9:57,17/03/16,16:38,M,Agouti,Dasyprocta leporina,2,1
51467,BSLL47,K0874256,8/11/1986,22/02/16,36,20:37,29/03/16,6:13,M,Agouti,Dasyprocta leporina,1,1
51467,BSLL47,K0880176,8/11/1986,23/02/16,35,22:16,29/03/16,7:52,M,Agouti,Dasyprocta leporina,1,1
51467,BSLL47,K1910099,19/11/86,25/02/16,44,2:48,9/4/2016,12:24,M,Agouti,Dasyprocta leporina,1,1
51467,BSLL47,K2426994,24/11/86,27/02/16,47,7:29,14/04/16,17:05,M,Agouti,Dasyprocta leporina,1,1
51495,BSLL21,B2942633,29/02/16,24/02/16,5,11:50,29/02/16,11:50,M,Agouti,Dasyprocta leporina,1,1
51495,BSLL21,C0123678,1/3/2016,24/02/16,6,6:34,1/3/2016,6:34,M,Agouti,Dasyprocta leporina,1,1
51495,BSLL21,C0234093,2/3/2016,24/02/16,7,9:28,2/3/2016,9:28,M,Agouti,Dasyprocta leporina,2,1
51495,BSLL21,C0653682,6/3/2016,24/02/16,11,14:54,6/3/2016,14:54,M,Agouti,Dasyprocta leporina,1,1
51495,BSLL21,C1133666,11/3/2016,24/02/16,16,9:21,11/3/2016,9:21,M,Agouti,Dasyprocta leporina,1,1
51495,BSLL21,C1826809,18/03/16,24/02/16,23,7:26,18/03/16,7:26,M,Agouti,Dasyprocta leporina,1,1
51495,BSLL21,C2953935,29/03/16,24/02/16,34,14:58,29/03/16,14:58,M,Agouti,Dasyprocta leporina,1,1
51497,BSLL17,C1434277,14/03/16,22/02/16,21,9:31,14/03/16,9:31,M,Agouti,Dasyprocta leporina,1,1
51497,BSLL17,C1663773,16/03/16,22/02/16,23,17:42,16/03/16,17:42,M,Agouti,Dasyprocta leporina,2,1
51535,BSLL33,D0765046,7/4/2016,25/02/16,42,18:04,7/4/2016,18:04,M,Agouti,Dasyprocta leporina,1,1
51535,BSLL33,D1537768,15/04/16,25/02/16,50,10:29,15/04/16,10:29,M,Agouti,Dasyprocta leporina,1,1
51554,BSLL231,F0117091,1/6/2020,24/02/16,29,4:44,24/03/16,10:23,M,Agouti,Dasyprocta leporina,1,1
51554,BSLL231,F0220459,2/6/2020,24/02/16,30,5:40,25/03/16,11:19,M,Agouti,Dasyprocta leporina,1,1
51619,BSLL15,D1229847,12/4/2016,22/02/16,50,8:17,12/4/2016,8:17,M,Agouti,Dasyprocta leporina,1,1
51661,BSLL26,C0451786,4/3/2016,22/02/16,11,14:23,4/3/2016,14:23,M,Agouti,Dasyprocta leporina,2,1
51666,BSLL41,B2927401,29/02/16,27/02/16,2,7:37,29/02/16,7:37,M,Agouti,Dasyprocta leporina,2,1
51666,BSLL41,C2443455,24/03/16,27/02/16,26,12:04,24/03/16,12:04,M,Agouti,Dasyprocta leporina,14,1
51694,BSLL24,D1342106,13/04/16,24/02/16,49,11:41,13/04/16,11:41,M,Agouti,Dasyprocta leporina,4,2
51742,BSLL44,C0180832,1/3/2016,26/02/16,5,22:27,1/3/2016,22:27,M,Agouti,Dasyprocta leporina,1,1
51743,BSLL321,B2425056,24/02/16,23/02/16,2,6:57,24/02/16,6:57,M,Agouti,Dasyprocta leporina,1,1
51743,BSLL321,B2659876,26/02/16,23/02/16,4,16:37,26/02/16,16:37,M,Agouti,Dasyprocta leporina,1,1
51743,BSLL321,B2960054,29/02/16,23/02/16,7,16:40,29/02/16,16:40,M,Agouti,Dasyprocta leporina,1,1
51743,BSLL321,C1646715,16/03/16,23/02/16,23,12:58,16/03/16,12:58,M,Agouti,Dasyprocta leporina,1,1
51743,BSLL321,C2229385,22/03/16,23/02/16,29,8:09,22/03/16,8:09,M,Agouti,Dasyprocta leporina,2,1
51743,BSLL321,C2646750,26/03/16,23/02/16,33,12:59,26/03/16,12:59,M,Agouti,Dasyprocta leporina,1,1
51743,BSLL321,D1035375,10/4/2016,23/02/16,48,9:49,10/4/2016,9:49,M,Agouti,Dasyprocta leporina,1,1
51743,BSLL321,D1042950,10/4/2016,23/02/16,48,11:55,10/4/2016,11:55,M,Agouti,Dasyprocta leporina,1,1
51743,BSLL321,D1226853,12/4/2016,23/02/16,50,7:27,12/4/2016,7:27,M,Agouti,Dasyprocta leporina,1,1
51971,BSLL45,C0909414,9/3/2016,26/02/16,13,2:36,9/3/2016,9:36,M,Agouti,Dasyprocta leporina,1,1
51971,BSLL45,D1322071,13/04/16,26/02/16,48,6:07,13/04/16,13:07,M,Agouti,Dasyprocta leporina,1,1
51971,BSLL45,D1702403,17/04/16,26/02/16,52,0:40,17/04/16,7:40,M,Agouti,Dasyprocta leporina,1,1
51971,BSLL45,D1782798,17/04/16,26/02/16,52,22:59,17/04/16,5:59,M,Agouti,Dasyprocta leporina,1,1
52049,BSLL1011,,18/03/16,28/02/16,20,8:18,18/03/16,8:18,M,Agouti,Dasyprocta leporina,2,1
52049,BSLL1011,,22/03/16,28/02/16,24,9:51,22/03/16,9:51,M,Agouti,Dasyprocta leporina,1,1
52049,BSLL1011,,1/4/2016,28/02/16,34,17:39,1/4/2016,17:39,M,Agouti,Dasyprocta leporina,2,1
52253,BSLL33b,C2662294,26/03/16,23/02/16,33,17:18,26/03/16,17:18,M,Agouti,Dasyprocta leporina,1,1
52253,BSLL33b,C3047974,30/03/16,23/02/16,37,13:19,30/03/16,13:19,M,Agouti,Dasyprocta leporina,2,1
52327,BSLL12B,C0146703,1/3/2016,20/02/16,11,12:58,1/3/2016,12:58,M,Agouti,Dasyprocta leporina,2,1
52327,BSLL12B,C1743291,17/03/16,20/02/16,27,12:01,17/03/16,12:01,M,Agouti,Dasyprocta leporina,2,1
52327,BSLL12B,C1828550,18/03/16,20/02/16,28,7:55,18/03/16,7:55,M,Agouti,Dasyprocta leporina,2,1
52327,BSLL12B,C2734472,27/03/16,20/02/16,37,9:34,27/03/16,9:34,M,Agouti,Dasyprocta leporina,1,1
52327,BSLL12B,D0647295,6/4/2016,20/02/16,47,13:08,6/4/2016,13:08,M,Agouti,Dasyprocta leporina,1,1
52327,BSLL12B,D0930869,9/4/2016,20/02/16,50,8:34,9/4/2016,8:34,M,Agouti,Dasyprocta leporina,1,1
52328,BSLL10,D0425050,4/4/2016,23/02/16,42,6:57,4/4/2016,6:57,M,Agouti,Dasyprocta leporina,1,1
52328,BSLL10,D0624523,6/4/2016,23/02/16,44,6:48,6/4/2016,6:48,M,Agouti,Dasyprocta leporina,3,1
52328,BSLL10,D0929382,9/4/2016,23/02/16,47,8:09,9/4/2016,8:09,M,Agouti,Dasyprocta leporina,1,1
52328,BSLL10,D1429440,14/04/16,23/02/16,52,8:10,14/04/16,8:10,M,Agouti,Dasyprocta leporina,1,1
DD3,BSLL311,PICT0127,1/3/2016,24/02/16,7,13:33,1/3/2016,13:33,M,Agouti,Dasyprocta leporina,3,1
DTL03,BSLL46,cyd00024,27/02/16,26/02/16,2,6:25,27/02/16,6:25,M,Agouti,Dasyprocta leporina,1,1
DTL03,BSLL46,cyd00026,1/3/2016,26/02/16,5,6:24,1/3/2016,6:24,M,Agouti,Dasyprocta leporina,2,1
DTL03,BSLL46,cyd00028,1/3/2016,26/02/16,5,7:53,1/3/2016,7:53,M,Agouti,Dasyprocta leporina,1,1
DTL03,BSLL46,cyd00029,1/3/2016,26/02/16,5,14:46,1/3/2016,14:46,M,Agouti,Dasyprocta leporina,1,1
DTL03,BSLL46,cyd00030,4/3/2016,26/02/16,8,9:31,4/3/2016,9:31,M,Agouti,Dasyprocta leporina,1,1
