id_ct,id_station,date_set,date_capt,date_dayno,time,name_order,name_com,name_sci,name_code,count_pic,count_ind,comments
2,CT3N,2014-09-23T00:00:00Z,2014-10-02T00:00:00Z,10,01:59:00,M,Lowland Paca,Cuniculus paca,CUNPAC,1,1,Animal appears to be injured
2,CT3N,2014-09-23T00:00:00Z,2014-10-03T00:00:00Z,11,00:55:00,M,Lowland Paca,Cuniculus paca,CUNPAC,1,1,Animal appears to be injured
2,CT3N,2014-09-23T00:00:00Z,2014-10-19T00:00:00Z,27,03:36:00,M,Red Brocket deer,Mazama americana,MAZAME,1,1,Animal appears to have a wound on the leg
2,CT3N,2014-09-23T00:00:00Z,2014-10-20T00:00:00Z,28,01:35:00,M,Lowland Paca,Cuniculus paca,CUNPAC,1,1,appears to be walking
2,CT3N,2014-09-23T00:00:00Z,2014-10-22T00:00:00Z,30,23:03:00,M,Lowland Paca,Cuniculus paca,CUNPAC,1,1,appears to be walking
2,CT3N,2014-09-23T00:00:00Z,2014-10-28T00:00:00Z,36,01:48:00,M,Lowland Paca,Cuniculus paca,CUNPAC,1,1,appears to be walking
2,CT3N,2014-09-23T00:00:00Z,2014-10-29T00:00:00Z,37,18:45:00,M,Lowland Paca,Cuniculus paca,CUNPAC,1,1,appears to be walking
2,CT3N,2014-09-23T00:00:00Z,2014-10-30T00:00:00Z,38,09:47:00,M,Collared Peccary,Pecari tajacu,PECTAJ,1,1,appears to be walking
2,CT3N,2014-09-23T00:00:00Z,2014-11-01T00:00:00Z,40,02:08:00,M,Lowland Paca,Cuniculus paca,CUNPAC,1,1,male
2,CT3N,2014-09-23T00:00:00Z,2014-11-07T00:00:00Z,46,12:00:00,M,Collared Peccary,Pecari tajacu,PECTAJ,1,1,"Appears to be looking for food,picture was blurred"
2,CT3N,2014-09-23T00:00:00Z,2014-11-07T00:00:00Z,46,12:38:00,M,Collared Peccary,Pecari tajacu,PECTAJ,1,1,"Appears to be injured, wound on leg"
2,CT3N,2014-09-23T00:00:00Z,2014-11-08T00:00:00Z,47,19:12:00,M,Lowland Paca,Cuniculus paca,CUNPAC,1,1,Female
3,CT2N,2014-09-24T00:00:00Z,2014-10-06T00:00:00Z,13,02:29:00,M,Lowland Paca,Cuniculus paca,CUNPAC,1,1,"The left side of the animal is visible, however the animals head is not in the photograph."
3,CT2N,2014-09-24T00:00:00Z,2014-10-06T00:00:00Z,13,10:15:00,M,Giant Anteater,Myrmecophaga tridactyla,MYRTRI,1,1,The animal is turning towards the right and the right anterior portion of the body is visible.
3,CT2N,2014-09-24T00:00:00Z,2014-10-15T00:00:00Z,22,11:39:00,B,Grey-winged trumpeter,Psophia crepitans,PSOCRE,1,3,Animals appear to be walking passed the camera.
4,CT3A,2014-09-20T00:00:00Z,2014-10-11T00:00:00Z,22,21:38:00,M,Red Brocket deer,Mazama americana,MAZAME,2,1,Female
4,CT3A,2014-09-20T00:00:00Z,2014-10-26T00:00:00Z,37,11:31:00,M,Ocelot,Leopardus pardalis,LEOPAR,1,1,left side
4,CT3A,2014-09-20T00:00:00Z,2014-10-30T00:00:00Z,41,07:53:00,M,Jaguar,Panthera onca,PANONC,1,1,Left side visible
4,CT3A,2014-09-20T00:00:00Z,2014-11-08T00:00:00Z,50,17:36:00,M,Red Brocket deer,Mazama americana,MAZAME,1,1,Male
07,CT3R,2014-09-20T00:00:00Z,2014-09-22T00:00:00Z,3,21:15:00,M,Ocelot,Leopardus pardalis,LEOPAR,1,1,"Right side of body, distinguishable white injury/mark on shoulder area"
07,CT3R,2014-09-20T00:00:00Z,2014-09-23T00:00:00Z,4,17:06:00,M,Jaguar,Panthera onca,PANONC,1,1,Right side of body
07,CT3R,2014-09-20T00:00:00Z,2014-10-04T00:00:00Z,15,18:31:00,M,Jaguar,Panthera onca,PANONC,1,1,"Right side of Jaguar, may be one as noted in CDY_0034"
07,CT3R,2014-09-20T00:00:00Z,2014-10-16T00:00:00Z,27,00:04:00,M,Lowland Paca,Cuniculus paca,CUNPAC,1,2,Individuals sniffing around
08,CT2R,2014-09-19T00:00:00Z,2014-09-20T00:00:00Z,2,08:13:00,M,Jaguar,Panthera onca,PANONC,1,1,Left side of Jaguar
08,CT2R,2014-09-19T00:00:00Z,2014-09-24T00:00:00Z,6,15:05:00,M,Jaguar,Panthera onca,PANONC,1,1,Right side of jaguar
08,CT2R,2014-09-19T00:00:00Z,2014-09-29T00:00:00Z,11,19:16:00,M,Puma,Puma concolor,PUMCON,3,1,NA
08,CT2R,2014-09-19T00:00:00Z,2014-09-29T00:00:00Z,11,20:22:00,M,Puma,Puma concolor,PUMCON,1,1,Right side of upper body
08,CT2R,2014-09-19T00:00:00Z,2014-10-05T00:00:00Z,17,10:04:00,M,Jaguar,Panthera onca,PANONC,1,1,Right side of body
08,CT2R,2014-09-19T00:00:00Z,2014-10-06T00:00:00Z,18,10:21:00,M,Red Brocket deer,Mazama americana,MAZAME,1,1,Right posterior region
08,CT2R,2014-09-19T00:00:00Z,2014-10-08T00:00:00Z,20,06:21:00,M,Jaguar,Panthera onca,PANONC,1,1,Left side of Jaguar
08,CT2R,2014-09-19T00:00:00Z,2014-10-13T00:00:00Z,25,07:54:00,M,Red Brocket deer,Mazama americana,MAZAME,1,1,Left side of deer
08,CT2R,2014-09-19T00:00:00Z,2014-10-14T00:00:00Z,26,10:34:00,M,Red Brocket deer,Mazama americana,MAZAME,1,1,Left side of deer
08,CT2R,2014-09-19T00:00:00Z,2014-10-16T00:00:00Z,28,02:19:00,M,Red Brocket deer,Mazama americana,MAZAME,1,1,"Left side, bruise on left ankle"
08,CT2R,2014-09-19T00:00:00Z,2014-10-17T00:00:00Z,29,07:22:00,M,Red Brocket deer,Mazama americana,MAZAME,1,1,Left anterior side
9,CT7R,2014-09-24T00:00:00Z,2014-09-27T00:00:00Z,4,04:06:00,M,Ocelot,Leopardus pardalis,LEOPAR,1,1,"Male, right side of body, white marks on right-front leg"
9,CT7R,2014-09-24T00:00:00Z,2014-09-29T00:00:00Z,6,00:36:00,M,Lowland Paca,Cuniculus paca,CUNPAC,1,1,"Right side, bruise on shoulder"
9,CT7R,2014-09-24T00:00:00Z,2014-10-05T00:00:00Z,12,02:05:00,M,Ocelot,Leopardus pardalis,LEOPAR,1,1,"Male, left side of body"
9,CT7R,2014-09-24T00:00:00Z,2014-10-06T00:00:00Z,13,07:36:00,M,Agouti,Dasyprocta leporina,DASLEP,1,1,Right side of body
9,CT7R,2014-09-24T00:00:00Z,2014-10-11T00:00:00Z,18,21:08:00,M,Ocelot,Leopardus pardalis,LEOPAR,1,1,Male- right side of body
9,CT7R,2014-09-24T00:00:00Z,2014-10-13T00:00:00Z,20,00:54:00,M,Ocelot,Leopardus pardalis,LEOPAR,1,1,Left side of body
9,CT7R,2014-09-24T00:00:00Z,2014-10-22T00:00:00Z,29,08:14:00,M,Puma,Puma concolor,PUMCON,1,1,Right side of upper body
9,CT7R,2014-09-24T00:00:00Z,2014-10-22T00:00:00Z,29,08:24:00,M,Collared Peccary,Pecari tajacu,PECTAJ,1,1,Right side of body
9,CT7R,2014-09-24T00:00:00Z,2014-10-25T00:00:00Z,32,01:31:00,M,Jaguar,Panthera onca,PANONC,1,1,Left side of body. Injury on shoulder
9,CT7R,2014-09-24T00:00:00Z,2014-10-25T00:00:00Z,32,03:16:00,M,Ocelot,Leopardus pardalis,LEOPAR,1,1,"Male, right side of body, white marks on right-front leg"
9,CT7R,2014-09-24T00:00:00Z,2014-10-26T00:00:00Z,33,22:27:00,M,Tapir,Tapirus terrestris,TAPTER,2,1,Right side of upper body
9,CT7R,2014-09-24T00:00:00Z,2014-10-27T00:00:00Z,34,01:39:00,M,Jaguar,Panthera onca,PANONC,1,1,Right side of body
9,CT7R,2014-09-24T00:00:00Z,2014-10-31T00:00:00Z,38,16:40:00,M,Collared Peccary,Pecari tajacu,PECTAJ,1,1,Left side of body
