id_station,id_pic,date_dayno,name_order,name_com,name_sci,name_code,count_pic,count_ind
BSLL42,NA,24,M,Acouchy,Myoprocta acouchy,MYOACO,1,1
BSLL42,NA,25,M,Acouchy,Myoprocta acouchy,MYOACO,1,1
BSLL42,NA,26,M,Acouchy,Myoprocta acouchy,MYOACO,1,1
BSLL42,NA,26,M,Acouchy,Myoprocta acouchy,MYOACO,1,1
BSLL42,NA,29,M,Acouchy,Myoprocta acouchy,MYOACO,2,1
BSLL42,NA,38,M,Acouchy,Myoprocta acouchy,MYOACO,1,1
BSLL42,NA,38,M,Acouchy,Myoprocta acouchy,MYOACO,1,1
BSLL42,NA,42,M,Acouchy,Myoprocta acouchy,MYOACO,1,1
BSLL42,NA,46,M,Acouchy,Myoprocta acouchy,MYOACO,1,1
BSLL11,B2401299,40,M,Agouti,Dasyprocta leporina,DASLEP,1,1
BSLL11,B2538077,40,M,Agouti,Dasyprocta leporina,DASLEP,1,1
BSLL11,B2635848,40,M,Agouti,Dasyprocta leporina,DASLEP,2,1
BSLL47,K0874256,36,M,Agouti,Dasyprocta leporina,DASLEP,1,1
BSLL47,K0880176,35,M,Agouti,Dasyprocta leporina,DASLEP,1,1
BSLL47,K1910099,44,M,Agouti,Dasyprocta leporina,DASLEP,1,1
BSLL47,K2426994,47,M,Agouti,Dasyprocta leporina,DASLEP,1,1
BSLL21,B2942633,5,M,Agouti,Dasyprocta leporina,DASLEP,1,1
BSLL21,C0123678,6,M,Agouti,Dasyprocta leporina,DASLEP,1,1
BSLL21,C0234093,7,M,Agouti,Dasyprocta leporina,DASLEP,2,1
BSLL21,C0653682,11,M,Agouti,Dasyprocta leporina,DASLEP,1,1
BSLL21,C1133666,16,M,Agouti,Dasyprocta leporina,DASLEP,1,1
BSLL21,C1826809,23,M,Agouti,Dasyprocta leporina,DASLEP,1,1
BSLL21,C2953935,34,M,Agouti,Dasyprocta leporina,DASLEP,1,1
BSLL17,C1434277,21,M,Agouti,Dasyprocta leporina,DASLEP,1,1
BSLL17,C1663773,23,M,Agouti,Dasyprocta leporina,DASLEP,2,1
BSLL33,D0765046,42,M,Agouti,Dasyprocta leporina,DASLEP,1,1
BSLL33,D1537768,50,M,Agouti,Dasyprocta leporina,DASLEP,1,1
BSLL231,F0117091,29,M,Agouti,Dasyprocta leporina,DASLEP,1,1
BSLL231,F0220459,30,M,Agouti,Dasyprocta leporina,DASLEP,1,1
BSLL15,D1229847,50,M,Agouti,Dasyprocta leporina,DASLEP,1,1
