camera_no,station,date_set,date_collected,trap_nights,time_set,lat,long,trail_type,trail_width,trail_dist,trail_use,trail_use_freq,canopy_cover
59,CT1A,18-Sep-14,11-Nov-14,54,09:51,4.139241027,-58.17018899,C,2.5,3,NA,Zero,80
39,CT1B,18-Sep-14,11-Nov-14,54,11:24,4.125903994,-58.16649601,T,1,2,NA,Zero,90
60,CT1C,18-Sep-14,11-Nov-14,54,13:07,4.113040036,-58.16333896,T,1,3,NA,Zero,90
52,CT1D,18-Sep-14,11-Nov-14,54,NA,4.10135801,-58.16038904,C,4,2,NA,Zero,90
37,CT1E,18-Sep-14,11-Nov-14,54,15:05,4.090161966,-58.15751396,T,5,3,NA,Zero,90
49,CT1N,24-Sep-14,11-Nov-14,48,14:55,4.165294999,-58.17770102,T,0.5,2,NA,Zero,90
13,CT1R,24-Sep-14,31-Oct-14,37,15:40,4.152800012,-58.173944,R,4,3,V,Low,50
50,CT1Z,18-Sep-14,11-Nov-14,54,10:46,4.131654985,-58.16802604,O,7,3,NA,Zero,NA
17,CT2A,19-Sep-14,NA,0,09:02,4.140509041,-58.15621904,T,0.3,3,NA,Zero,80
35,CT2B,19-Sep-14,NA,0,10:15,4.128069039,-58.15330197,NT,1,3,W,Zero,80
19,CT2C,19-Sep-14,12-Nov-14,54,11:22,4.116894035,-58.14974897,NT,1,4,W,Zero,70
57,CT2D,19-Sep-14,12-Nov-14,54,13:38,4.104190003,-58.14794996,T,1,3,NA,Zero,95
3,CT2N,24-Sep-14,10-Nov-14,47,12:18,4.166026991,-58.16336604,T,1,2,W,Zero,80
8,CT2R,19-Sep-14,18-Oct-14,29,07:40,4.153345004,-58.16004597,R,7,1,V,Low,30
4,CT3A,20-Sep-14,12-Nov-14,53,09:45,4.141745036,-58.18480301,C,2,2,NA,Zero,70
55,CT3B,20-Sep-14,12-Nov-14,53,11:18,4.128771024,-58.18108002,C,4,1,NA,Zero,70
32,CT3C,20-Sep-14,12-Nov-14,53,13:00,4.11596599,-58.17661196,T,1,3,NA,Zero,80
2,CT3N,23-Sep-14,11-Nov-14,49,15:14,4.165749969,-58.19243599,T,1,2.5,W,Zero,85
7,CT3R,20-Sep-14,09-Nov-14,50,08:35,4.152761037,-58.18844402,R,5,4,V,Low,60
40,CT4A,21-Sep-14,10-Nov-14,50,08:24,4.138947995,-58.19922801,T,1,3,W,Zero,90
43,CT4B,21-Sep-14,15-Oct-14,24,09:38,4.127149964,-58.194035,C,1,3,W,Zero,80
23,CT4N,23-Sep-14,NA,0,13:12,4.164830977,-58.20592004,C,1,2.5,W,Zero,80
21,CT4R,21-Sep-14,09-Nov-14,49,07:29,4.152281005,-58.20274296,R,4,1,V,Low,60
47,CT5A,22-Sep-14,10-Nov-14,49,10:18,4.13797603,-58.21201997,T,1,3,W,Zero,90
15,CT5B,23-Sep-14,10-Nov-14,48,12:06,4.12742204,-58.20841399,T,1,2,W,Zero,60
34,CT5O,23-Sep-14,10-Nov-14,48,11:03,4.16441666,-58.22056666,NT,1,3,W,Zero,80
24,CT5R,23-Sep-14,09-Nov-14,47,09:43,4.151162021,-58.21650999,R,3,3,V,Zero,60
14,CT5Z,22-Sep-14,10-Nov-14,49,11:06,4.136350024,-58.21121899,T,2,3,W,Zero,75
46,CT6N,24-Sep-14,12-Nov-14,49,09:48,4.16696501,-58.14942501,T,1,2,W,Zero,90
53,CT6R,24-Sep-14,13-Nov-14,50,10:45,4.154270031,-58.14658203,R,4,2.5,V,Med,90
9,CT7R,24-Sep-14,09-Nov-14,46,08:20,4.154277993,-58.13240496,R,4,2,V,Med,60
12,CT4C,21-Sep-14,10-Nov-14,50,10:58,4.114408968,-58.18981396,T,1,3,W,Zero,80
