name_sci,ci_l,ci_u,rai_boot,sum_ind,rai,rai_round
Myrmecophaga tridactyla,0,0.3226600985221675,0.12804187192118227,2,0.14184397163120568,0.142
Priodontes maximus,0,0.3390087788094214,0.13321527057454396,2,0.14184397163120568,0.142
Leopardus wiedii,0,0.4926108374384236,0.1888025767336112,3,0.2127659574468085,0.213
Panthera onca,0,0.7957559681697612,0.26965205180215324,4,0.28368794326241137,0.284
Nasua nasua,0,0.627837341833285,0.2728556940017386,4,0.28368794326241137,0.284
Eira barbara,0.19207902679959754,0.7850083297523451,0.4682470796969765,7,0.4964539007092199,0.496
Puma concolor,0.06157635467980295,1.039092361082364,0.4744656483282968,7,0.4964539007092199,0.496
Myoprocta acouchy,0,4.433497536945812,1.4261083743842364,9,0.6382978723404255,0.638
Cerdocyon thous,0,4.251930878452176,1.5251677328756434,22,1.5602836879432624,1.56
Leopardus pardalis,0,4.727824766861852,1.6941138198936048,25,1.773049645390071,1.773
Tayassu pecari,0.38568732090537367,3.5501564684229128,1.72957286362821,21,1.4893617021276597,1.489
Cuniculus paca,0.19908346480354594,4.345011350886048,1.9050150808534214,31,2.198581560283688,2.199
Mazama americana,0.9037554281875189,4.653035626035946,2.4722604994396202,35,2.4822695035460995,2.482
Mazama nemorivaga,1.5421549619616026,4.818920224821002,2.960473546946308,34,2.4113475177304964,2.411
Tapirus terrestris,1.1651342252128298,7.155994741437973,3.5506165872673225,48,3.404255319148936,3.404
Pecari tajacu,1.567789063785102,6.107808436173758,3.5750117803647403,51,3.6170212765957444,3.617
Dasypus sp.,1.5386887043199453,6.780052362609375,3.775148013795636,41,2.9078014184397163,2.908
Dasyprocta leporina,3.2937113515223584,8.031597953996688,5.446514918348274,81,5.74468085106383,5.745
